Frequency(Hz),R(ohm),X(ohm),V(V),SoC(%)
0.01,0.134896,-0.057711,3.2848,45
0.02,0.111933,-0.0446543,3.2878,45
0.03,0.102591,-0.0368605,3.28773,45
0.05,0.0939822,-0.0286164,3.28793,45
0.08,0.0880143,-0.0228716,3.28806,45
0.1,0.0856134,-0.0206757,3.28814,45
0.2,0.0793366,-0.0152432,3.28825,45
0.3,0.0763881,-0.012831,3.28826,45
0.5,0.0733292,-0.0104099,3.28831,45
0.8,0.071016,-0.00870303,3.28834,45
1,0.070053,-0.00805262,3.28839,45
2,0.0674481,-0.00658743,3.28843,45
3,0.066094,-0.00605676,3.28847,45
5,0.0644796,-0.00565535,3.28849,45
8,0.0630592,-0.00549444,3.2885,45
10,0.0623625,-0.00546337,3.28854,45
11,0.0620714,-0.00545762,3.28854,45
21,0.0599661,-0.00571048,3.28854,45
31,0.0585234,-0.00596925,3.28856,45
61,0.0557286,-0.00633009,3.28856,45
81,0.0544644,-0.00640531,3.28855,45
100,0.0534884,-0.00638898,3.28854,45
110,0.0530385,-0.00635647,3.28855,45
210,0.0499635,-0.00597006,3.28855,45
310,0.0481557,-0.00537176,3.28855,45
510,0.0459806,-0.00417795,3.28854,45
810,0.0441223,-0.00248562,3.28855,45
1000,0.043335,-0.0014752,3.28855,45
0.01,0.161703,-0.081101,3.19123,5
0.02,0.133373,-0.0607296,3.19588,5
0.03,0.12121,-0.0501474,3.19607,5
0.05,0.109562,-0.039389,3.1965,5
0.08,0.101132,-0.0318626,3.19669,5
0.1,0.0976667,-0.028922,3.19682,5
0.2,0.0886388,-0.0217125,3.19697,5
0.3,0.0843401,-0.0185136,3.19699,5
0.5,0.0797451,-0.0153025,3.19706,5
0.8,0.0761537,-0.0129899,3.1971,5
1,0.0746227,-0.012069,3.19718,5
2,0.0704197,-0.00974973,3.19723,5
3,0.0683128,-0.00869889,3.19727,5
5,0.0659888,-0.00757522,3.19731,5
8,0.0641766,-0.00686513,3.19733,5
10,0.0633811,-0.00664545,3.19736,5
11,0.0630587,-0.00659418,3.19738,5
21,0.0607316,-0.00643593,3.19739,5
31,0.0592109,-0.00648159,3.19741,5
61,0.0562477,-0.00664031,3.19742,5
81,0.0549247,-0.00662543,3.19737,5
100,0.0539494,-0.00654804,3.19738,5
110,0.05351,-0.00653016,3.19738,5
210,0.050476,-0.00591335,3.1974,5
310,0.0487163,-0.00525016,3.19739,5
510,0.0466542,-0.00402354,3.19741,5
810,0.0449002,-0.00238099,3.1974,5
1000,0.0441631,-0.00138504,3.19739,5
0.01,0.1389,-0.0572347,3.28493,50
0.02,0.116555,-0.0438815,3.28782,50
0.03,0.10756,-0.0360931,3.28779,50
0.05,0.0992794,-0.0279147,3.28803,50
0.08,0.0935399,-0.0222413,3.28816,50
0.1,0.0912447,-0.0200805,3.28825,50
0.2,0.0852108,-0.0147717,3.28835,50
0.3,0.0823885,-0.0124485,3.28838,50
0.5,0.0794336,-0.01013,3.28843,50
0.8,0.0771934,-0.00851768,3.28848,50
1,0.0762569,-0.00790774,3.28851,50
2,0.0736849,-0.00661224,3.28856,50
3,0.0723246,-0.00618038,3.28859,50
5,0.0706446,-0.00588812,3.28862,50
8,0.0690937,-0.00583669,3.28865,50
10,0.0683744,-0.00588453,3.28865,50
11,0.0680351,-0.00589979,3.28865,50
21,0.0657076,-0.00628874,3.28866,50
31,0.0641258,-0.00660104,3.28867,50
61,0.0609965,-0.00703156,3.28868,50
81,0.0595825,-0.00712357,3.28867,50
100,0.0584643,-0.00712895,3.28867,50
110,0.0579933,-0.00710573,3.28866,50
210,0.0546173,-0.00661695,3.28866,50
310,0.052706,-0.00601474,3.28867,50
510,0.0504273,-0.00488319,3.28867,50
810,0.0484891,-0.0033656,3.28867,50
1000,0.0476801,-0.00247907,3.28867,50
0.01,0.138263,-0.0589183,3.26229,25
0.02,0.116123,-0.0453932,3.26577,25
0.03,0.10663,-0.0375441,3.26585,25
0.05,0.0977953,-0.0291044,3.26616,25
0.08,0.0917348,-0.0231465,3.26628,25
0.1,0.0893223,-0.0208548,3.26642,25
0.2,0.0831089,-0.0153253,3.26655,25
0.3,0.0801985,-0.0129407,3.26657,25
0.5,0.0771153,-0.0106067,3.26662,25
0.8,0.0747351,-0.00900061,3.26666,25
1,0.0737028,-0.00838293,3.26672,25
2,0.0708465,-0.00698037,3.26676,25
3,0.0693366,-0.00639315,3.26679,25
5,0.0675155,-0.00581056,3.26683,25
8,0.0659822,-0.00537311,3.26685,25
10,0.065304,-0.00525532,3.26685,25
11,0.0650363,-0.0051949,3.26688,25
21,0.063155,-0.00498946,3.26687,25
31,0.0620137,-0.00501217,3.26688,25
61,0.0598149,-0.00515849,3.26688,25
81,0.0587978,-0.00519471,3.26688,25
100,0.0580434,-0.00518182,3.26688,25
110,0.057679,-0.00517344,3.2669,25
210,0.0552604,-0.00489294,3.26687,25
310,0.053784,-0.00445429,3.26688,25
510,0.0519093,-0.00356078,3.26686,25
810,0.0501931,-0.0022172,3.26688,25
1000,0.049438,-0.00138356,3.26689,25
0.01,0.173485,-0.0850875,3.19166,5
0.02,0.143835,-0.0635379,3.1966,5
0.03,0.131098,-0.0526251,3.19683,5
0.05,0.118719,-0.0416228,3.19726,5
0.08,0.109656,-0.0338669,3.19745,5
0.1,0.105906,-0.0307863,3.19757,5
0.2,0.09615,-0.0232236,3.19775,5
0.3,0.0915255,-0.0198414,3.19774,5
0.5,0.0865775,-0.0164424,3.19781,5
0.8,0.0827102,-0.0140242,3.19786,5
1,0.0810616,-0.0130806,3.19793,5
2,0.0764738,-0.0106864,3.19798,5
3,0.0741347,-0.00957811,3.19804,5
5,0.0715747,-0.0084289,3.19808,5
8,0.069536,-0.00769622,3.1981,5
10,0.0686386,-0.00748657,3.19814,5
11,0.0682586,-0.00743511,3.19815,5
21,0.0656174,-0.00742924,3.19816,5
31,0.0638314,-0.0075588,3.19818,5
61,0.0603674,-0.00775661,3.19818,5
81,0.0587836,-0.00775552,3.19817,5
100,0.0576458,-0.00768475,3.19817,5
110,0.0570788,-0.00760857,3.19815,5
210,0.0535555,-0.00680203,3.19816,5
310,0.0515871,-0.00598601,3.19816,5
510,0.049343,-0.00459169,3.19816,5
810,0.0475057,-0.0028687,3.19815,5
1000,0.0467073,-0.00186886,3.19816,5
0.01,0.15497,-0.0553504,3.3244,85
0.02,0.132676,-0.0425324,3.32688,85
0.03,0.123782,-0.0347557,3.32673,85
0.05,0.115868,-0.0264609,3.32691,85
0.08,0.110604,-0.0207052,3.327,85
0.1,0.108555,-0.0185254,3.3271,85
0.2,0.103285,-0.0133214,3.3272,85
0.3,0.100847,-0.0110868,3.32723,85
0.5,0.0983114,-0.00891099,3.32728,85
0.8,0.0963818,-0.00737996,3.32732,85
1,0.0956007,-0.00682965,3.32736,85
2,0.093446,-0.00554967,3.32741,85
3,0.0923505,-0.00511372,3.3274,85
5,0.0910052,-0.00481524,3.32746,85
8,0.0897935,-0.00477888,3.32747,85
10,0.0892111,-0.0047934,3.32747,85
11,0.0889517,-0.00483646,3.32748,85
21,0.0871252,-0.00516047,3.3275,85
31,0.0858936,-0.00552386,3.3275,85
61,0.0833623,-0.00623668,3.3275,85
81,0.0822007,-0.00649442,3.32751,85
100,0.0812854,-0.00671854,3.32749,85
110,0.0808286,-0.00677281,3.3275,85
210,0.0777846,-0.00726973,3.32749,85
310,0.0757939,-0.00750505,3.32749,85
510,0.0730711,-0.00758949,3.32751,85
810,0.0703249,-0.00741507,3.32749,85
1000,0.0689956,-0.0072029,3.3275,85
0.01,0.122694,-0.0522281,3.32544,95
0.02,0.103095,-0.0382791,3.32751,95
0.03,0.0958414,-0.0306382,3.32756,95
0.05,0.0894912,-0.0228826,3.32782,95
0.08,0.0852751,-0.0176623,3.32799,95
